Instante	APCP	CAPE	CONVfrac	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
194	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
195	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
196	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
197	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
198	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
199	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
200	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
201	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
202	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
203	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
204	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
205	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
206	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
207	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
208	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
209	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
210	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.14775	0.148507	0.148548	0.148007	0.148535
211	0.148443	0.148285	0.147966	0.148297	0.147529	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
212	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
213	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
214	0.148443	0.148285	0.147966	0.148297	0.14753	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
215	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
216	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
217	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
218	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
219	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
220	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
221	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
222	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
223	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
224	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
225	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
226	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
227	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
228	0.148443	0.148285	0.147966	0.148297	0.147531	0.148551	0.147751	0.148507	0.148548	0.148007	0.148535
