Instante	APCP	CAPE	CONV	DLWRF	DSWRF	PEVAP	PRES	SPFH	TMP	UGRD	VGRD
136	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
137	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
138	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147034	0.147851	0.148147	0.148343	0.147638
139	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
140	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
141	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
142	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
143	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
144	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147035	0.147851	0.148147	0.148343	0.147638
145	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
146	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
147	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
148	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
149	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
150	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
151	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147036	0.147851	0.148147	0.148343	0.147638
152	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
153	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
154	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
155	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
156	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
157	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
158	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
159	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
160	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
161	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
162	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
163	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147037	0.147851	0.148147	0.148343	0.147638
164	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147038	0.147851	0.148147	0.148343	0.147638
165	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147038	0.147851	0.148147	0.148343	0.147638
166	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147038	0.147851	0.148147	0.148343	0.147638
167	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147038	0.147851	0.148147	0.148343	0.147638
168	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147038	0.147851	0.148147	0.148343	0.147638
169	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
170	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
171	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
172	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
173	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
174	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
175	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
176	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
177	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
178	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
179	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
180	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
181	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
182	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
183	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
184	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
185	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
186	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
187	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
188	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
189	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
190	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
191	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
192	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
193	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
194	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
195	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
196	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
197	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
198	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
199	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
200	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
201	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
202	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
203	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
204	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
205	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
206	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
207	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147039	0.147851	0.148147	0.148343	0.147638
208	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
209	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
210	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
211	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.14704	0.147851	0.148147	0.148343	0.147638
212	0.147901	0.148448	0.148098	0.14782	0.14846	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
213	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
214	0.147901	0.148448	0.148098	0.14782	0.148461	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
215	0.147901	0.148448	0.148098	0.14782	0.148462	0.148539	0.147041	0.147851	0.148147	0.148343	0.147638
